1880,Jonathan,M
1881,Jonathan,M
1881,Johnathan,M
1882,Jonathan,M
1883,Jonathan,M
1884,Jonathan,M
1885,Jonathan,M
1886,Jonathan,M
1886,Johnathan,M
1887,Jonathan,M
1888,Jonathan,M
1889,Jonathan,M
1890,Jonathan,M
1891,Jonathan,M
1892,Jonathan,M
1893,Jonathan,M
1894,Jonathan,M
1895,Jonathan,M
1896,Jonathan,M
1897,Jonathan,M
1898,Jonathan,M
1899,Jonathan,M
1900,Jonathan,M
1901,Jonathan,M
1902,Jonathan,M
1903,Jonathan,M
1904,Jonathan,M
1905,Jonathan,M
1906,Jonathan,M
1907,Jonathan,M
1908,Jonathan,M
1909,Jonathan,M
1910,Jonathan,M
1911,Jonathan,M
1912,Jonathan,M
1912,Jonathon,M
1913,Jonathan,M
1914,Jonathan,M
1914,Johnathan,M
1915,Jonathan,M
1915,Johnathan,M
1915,Jonathon,M
1916,Jonathan,M
1916,Johnathan,M
1916,Jonathon,M
1917,Jonathan,M
1917,Johnathan,M
1917,Jonathon,M
1918,Jonathan,M
1918,Johnathan,M
1919,Jonathan,M
1919,Johnathan,M
1919,Jonathon,M
1919,Johnathon,M
1920,Jonathan,M
1920,Johnathan,M
1921,Jonathan,M
1921,Johnathan,M
1921,Jonathon,M
1922,Jonathan,M
1922,Johnathan,M
1922,Jonathon,M
1923,Jonathan,M
1923,Johnathan,M
1923,Jonathon,M
1924,Jonathan,M
1924,Johnathan,M
1924,Jonathon,M
1925,Jonathan,M
1925,Johnathan,M
1926,Jonathan,M
1926,Johnathan,M
1926,Jonathon,M
1927,Jonathan,M
1927,Jonathon,M
1927,Johnathan,M
1928,Jonathan,M
1928,Johnathan,M
1928,Jonathon,M
1929,Jonathan,M
1929,Johnathan,M
1929,Jonathon,M
1930,Jonathan,M
1930,Johnathan,M
1930,Jonathon,M
1931,Jonathan,M
1931,Johnathan,M
1932,Jonathan,M
1932,Johnathan,M
1933,Jonathan,M
1933,Johnathan,M
1934,Jonathan,M
1934,Joenathan,M
1934,Johnathan,M
1935,Jonathan,M
1935,Johnathan,M
1935,Joenathan,M
1936,Jonathan,M
1936,Johnathan,M
1936,Jonathon,M
1936,Joenathan,M
1937,Jonathan,M
1937,Johnathan,M
1937,Joenathan,M
1937,Jonathon,M
1938,Jonathan,M
1938,Jonathon,M
1938,Johnathan,M
1938,Joenathan,M
1939,Jonathan,M
1939,Johnathan,M
1939,Jonathon,M
1939,Joenathan,M
1940,Jonathan,M
1940,Johnathan,M
1940,Jonathon,M
1941,Jonathan,M
1941,Jonathon,M
1941,Johnathan,M
1942,Jonathan,M
1942,Jonathon,M
1942,Johnathan,M
1942,Johnathon,M
1942,Joenathan,M
1943,Jonathan,M
1943,Johnathan,M
1943,Jonathon,M
1944,Jonatha,F
1944,Jonathan,M
1944,Jonathon,M
1944,Johnathan,M
1944,Joenathan,M
1945,Jonatha,F
1945,Jonathan,M
1945,Jonathon,M
1945,Johnathan,M
1946,Jonatha,F
1946,Jonathan,M
1946,Jonathon,M
1946,Johnathan,M
1946,Joenathan,M
1947,Jonathan,M
1947,Jonathon,M
1947,Johnathan,M
1947,Joenathan,M
1948,Jonatha,F
1948,Jonathan,M
1948,Jonathon,M
1948,Johnathan,M
1948,Joenathan,M
1949,Jonathan,M
1949,Jonathon,M
